Paper Title,Authors,ID
Double Reinforcement Learning for Efficient and Robust Off-Policy Evaluation,"Nathan Kallus, Masatoshi Uehara",5944
Statistically Efficient Off-Policy Policy Gradients,"Nathan Kallus, Masatoshi Uehara",5945
Self-PU: Self Boosted and Calibrated Positive-Unlabeled Training,"Xuxi Chen, Wuyang Chen, Tianlong Chen, Ye Yuan, Chen Gong, Kewei Chen, Zhangyang Wang",5946
When Does Self-Supervision Help Graph Convolutional Networks?,"Yuning You, Tianlong Chen, Zhangyang Wang, Yang Shen",5947
On Differentially Private Stochastic Convex Optimization  with Heavy-tailed Data,"Di Wang, Hanshen Xiao, Srinivas Devadas, Jinhui Xu",5948
Variance Reduced Coordinate Descent with Acceleration: New Method With a Surprising Application to Finite-Sum Problems,"Filip Hanzely, Dmitry Kovalev, Peter Richtarik",5949
Stochastic Subspace Cubic Newton Method,"Filip Hanzely, Nikita Doikov, Yurii Nesterov, Peter Richtarik",5950
Ready Policy One: World Building Through Active Learning,"Philip Ball, Jack Parker-Holder, Aldo Pacchiano, Krzysztof Choromanski, Stephen Roberts",5951
Structural Language Models of Code,"Uri Alon, Roy Sadaka, Omer Levy, Eran Yahav",5952
PEGASUS: Pre-training with Extracted Gap-sentences for Abstractive Summarization,"Jingqing Zhang, Yao Zhao, Mohammad Saleh, Peter J. Liu",5953
Aggregation of Multiple Knockoffs,"Tuan-Binh Nguyen, Jerome-Alexis Chevalier, Thirion Bertrand, Sylvain Arlot",5954
Off-Policy Actor-Critic with Shared Experience Replay,"Simon Schmitt, Matteo Hessel, Karen Simonyan",5955
Graph-based Nearest Neighbor Search: From Practice to Theory,"Liudmila Prokhorenkova, Aleksandr Shekhovtsov",5956
Policy Teaching via Environment Poisoning: Training-time Adversarial Attacks against Reinforcement Learning,"Amin Rakhsha, Goran Radanovic, Rati Devidze, Jerry Zhu, Adish Singla",5957
"Semismooth Newton Algorithm for Efficient Projections onto $\ell_{1, \infty}$-norm Ball","Dejun Chu, Changshui Zhang, Shiliang Sun, Qing Tao",5958
Influenza Forecasting Framework based on Gaussian Processes,"Christoph Zimmer, Reza Yaesoubi",5959
Unique Properties of Wide Minima in Deep Networks,"Rotem Mulayoff, Tomer Michaeli",5960
Does the Markov Decision Process Fit the Data: Testing for the Markov Property in Sequential Decision Making,"Chengchun Shi, Runzhe Wan, Rui Song, Wenbin Lu, Ling Leng",5961
LTF: A Label Transformation Framework for Correcting Label Shift,"Jiaxian Guo, Mingming Gong, Tongliang Liu, Kun Zhang, Dacheng Tao",5962
"Divide, Conquer, and Combine: a New Inference Strategy for Probabilistic Programs with Stochastic Support","Yuan Zhou, Hongseok Yang, Yee Whye Teh, Tom Rainforth",5963
Duality in RKHSs with Infinite Dimensional Outputs: Application to Robust Losses,"Pierre Laforgue, Alex Lambert, Luc Brogat-Motte, Florence d'Alche-Buc",5964
Causal Effect Estimation and Optimal Dose Suggestions in Mobile Health,"Liangyu Zhu, Wenbin Lu, Rui Song",5965
Towards Understanding the Dynamics of the First-Order Adversaries,"Zhun Deng, Hangfeng He, Jiaoyang Huang, Weijie Su",5966
Interpreting Robust Optimization via Adversarial Influence Functions,"Zhun Deng, Cynthia Dwork, Jialiang Wang, Linjun Zhang",5967
Multilinear Latent Conditioning for Generating Unseen Attribute Combinations,"Markos Georgopoulos, Grigorios Chrysos, Yannis Panagakis, Maja Pantic",5968
No-Regret Exploration in Goal-Oriented Reinforcement Learning,"Jean Tarbouriech, Evrard Garcelon, Michal Valko, Matteo Pirotta, Alessandro Lazaric",5969
OPtions as REsponses: Grounding behavioural hierarchies in multi-agent reinforcement learning,"Sasha Vezhnevets, Yuhuai Wu, Maria Eckstein, Rémi Leblond, Joel Z Leibo",5970
Feature Noise Induces Loss Discrepancy Across Groups,"Fereshte Khani, Percy Liang",5971
Reinforcement Learning for Molecular Design Guided by Quantum Mechanics,"Gregor Simm, Robert Pinsler, Jose Miguel Hernandez-Lobato",5972
Small-GAN: Speeding up GAN Training using Core-Sets ,"Samrath Sinha, Han Zhang, Anirudh Goyal, Yoshua Bengio, Hugo Larochelle, Augustus Odena",5973
